Traversal,Depth,Create Children,Get Inputs,Create Outputs,Set UCBs
3,2,0.11469197273254395,0.0,0.007978439331054688,0.0
3,3,0.11768484115600586,0.000997304916381836,0.0069811344146728516,0.0009975433349609375
3,4,0.14560914039611816,0.0009970664978027344,0.0069811344146728516,0.0009975433349609375
3,5,0.11269760131835938,0.0,0.007978200912475586,0.0
3,6,0.1296525001525879,0.0,0.007978439331054688,0.0
3,7,0.09873509407043457,0.0009975433349609375,0.005983829498291016,0.0009975433349609375
3,8,0.0967400074005127,0.000997304916381836,0.005984067916870117,0.000997304916381836
3,9,0.09773802757263184,0.0,0.0069811344146728516,0.0
4,0,0.0,0.0,0.0069811344146728516,0.0
4,1,0.0,0.0009980201721191406,0.00698089599609375,0.0
4,2,0.0,0.0009975433349609375,0.00698089599609375,0.0
4,3,0.019946813583374023,0.0,0.005984067916870117,0.0
4,4,0.01994633674621582,0.0,0.005984067916870117,0.0
4,5,0.1107027530670166,0.0,0.007978200912475586,0.0
4,6,0.17253732681274414,0.0009975433349609375,0.010970354080200195,0.000997304916381836
4,7,0.10671353340148926,0.0009975433349609375,0.0069811344146728516,0.0
4,8,0.1386280059814453,0.000997781753540039,0.0069811344146728516,0.000997304916381836
4,9,0.09574294090270996,0.0009975433349609375,0.005983829498291016,0.0009970664978027344
5,0,0.0,0.0009975433349609375,0.005983829498291016,0.0
5,1,0.0,0.0009975433349609375,0.006981372833251953,0.0
5,2,0.11269760131835938,0.0,0.007978439331054688,0.0
5,3,0.015956878662109375,0.0009975433349609375,0.003989219665527344,0.0
5,4,0.09773802757263184,0.000997304916381836,0.005983591079711914,0.0
5,5,0.10970544815063477,0.000997304916381836,0.0069811344146728516,0.000997304916381836
5,6,0.016954660415649414,0.0,0.00498652458190918,0.0
5,7,0.016954898834228516,0.0,0.004986286163330078,0.0
5,8,0.1107029914855957,0.0,0.008976221084594727,0.0
5,9,0.01495981216430664,0.0,0.00498652458190918,0.0
6,0,0.0,0.0009975433349609375,0.0069811344146728516,0.0
6,1,0.11568975448608398,0.0,0.006981849670410156,0.0009965896606445312
6,2,0.13463902473449707,0.0,0.007978439331054688,0.0
6,3,0.13164687156677246,0.0009970664978027344,0.006981372833251953,0.0
6,4,0.14560914039611816,0.0,0.007978439331054688,0.0
6,5,0.1296520233154297,0.0009975433349609375,0.0069811344146728516,0.0
6,6,0.028922557830810547,0.0009975433349609375,0.004986286163330078,0.0
6,7,0.014960289001464844,0.0,0.005983829498291016,0.0
6,8,0.0997323989868164,0.0,0.00698089599609375,0.0
6,9,0.014960050582885742,0.0,0.004985809326171875,0.0
7,0,0.0,0.0009980201721191406,0.005983591079711914,0.0
7,1,0.11469221115112305,0.0,0.007978439331054688,0.0
7,2,0.11469244956970215,0.0,0.0069811344146728516,0.000997304916381836
7,3,0.11269760131835938,0.0009975433349609375,0.006981372833251953,0.0
7,4,0.11269760131835938,0.000997304916381836,0.0069811344146728516,0.0
7,5,0.12666010856628418,0.0009975433349609375,0.007978677749633789,0.0
7,6,0.1715400218963623,0.0,0.0069811344146728516,0.0
7,7,0.011968135833740234,0.0,0.005984067916870117,0.0
7,8,0.015957117080688477,0.0,0.00498652458190918,0.0
7,9,0.10571646690368652,0.000997304916381836,0.006981372833251953,0.0
8,0,0.0,0.0009970664978027344,0.005984306335449219,0.0
8,1,0.0,0.0,0.0069811344146728516,0.0
8,2,0.1326446533203125,0.0,0.007978200912475586,0.0
8,3,0.1296520233154297,0.000997304916381836,0.006981372833251953,0.0009970664978027344
